type	latitude	longitude	name	desc
W	32.883540000	-117.234860000	Start	
W	32.883510000	-117.234870000	Turn 1	
W	32.883420000	-117.234980000	Turn 2	
W	32.883320000	-117.235100000	Turn 3	
W	32.883160000	-117.235290000	Turn 4	
W	32.883060000	-117.235380000	Turn 5	
W	32.882980000	-117.235770000	Turn 6	
W	32.882950000	-117.235810000	Turn 7	
W	32.882880000	-117.235800000	Turn 8	
W	32.882880000	-117.235740000	Turn 9	
W	32.882820000	-117.235720000	Turn 10	
W	32.882950000	-117.235090000	Turn 11	
W	32.882750000	-117.234950000	Turn 12	
W	32.882400000	-117.234540000	Turn 13	
W	32.882370000	-117.234500000	Turn 14	
W	32.882110000	-117.234330000	Turn 15	
W	32.881990000	-117.234000000	Turn 16	
W	32.881950000	-117.233890000	Turn 17	
W	32.881900000	-117.233820000	Turn 18	
W	32.881890000	-117.233780000	Turn 19	
W	32.881900000	-117.233820000	Turn 20	
W	32.881870000	-117.233870000	Turn 21	
W	32.881790000	-117.234120000	Turn 22	
W	32.882300000	-117.234730000	Turn 23	
W	32.882290000	-117.234760000	Turn 24	
W	32.882040000	-117.235070000	Turn 25	
W	32.882290000	-117.235380000	Turn 26	
W	32.882190000	-117.235490000	Turn 27	
W	32.882160000	-117.235530000	Turn 28	
W	32.882100000	-117.235600000	Turn 29	
W	32.881890000	-117.235840000	Turn 30	
W	32.881860000	-117.235860000	Turn 31	
W	32.881790000	-117.235910000	Turn 32	
W	32.881540000	-117.235910000	Turn 33	
W	32.881430000	-117.235910000	Turn 34	
W	32.881300000	-117.235910000	Turn 35	
W	32.881300000	-117.235940000	Turn 36	
W	32.880960000	-117.235940000	Turn 37	
W	32.880960000	-117.235890000	Turn 38	
W	32.880430000	-117.236140000	Turn 39	
W	32.880310000	-117.236280000	Turn 40	
W	32.880150000	-117.236480000	Turn 41	
W	32.880310000	-117.236280000	Turn 42	
W	32.880350000	-117.236510000	Turn 43	
W	32.880350000	-117.236740000	Turn 44	
W	32.880330000	-117.237000000	Turn 45	
W	32.880290000	-117.237110000	Turn 46	
W	32.880270000	-117.237220000	Turn 47	
W	32.880310000	-117.237220000	Turn 48	
W	32.880310000	-117.237300000	Turn 49	
W	32.880330000	-117.237370000	Turn 50	
W	32.880360000	-117.237390000	Turn 51	
W	32.880400000	-117.237410000	Turn 52	
W	32.880400000	-117.237420000	Turn 53	
W	32.880410000	-117.237450000	Turn 54	
W	32.880460000	-117.237480000	Turn 55	
W	32.880500000	-117.237500000	Turn 56	
W	32.880530000	-117.237520000	Turn 57	
W	32.880660000	-117.237500000	Turn 58	
W	32.880660000	-117.237560000	Turn 59	
W	32.880660000	-117.237600000	Turn 60	
W	32.880530000	-117.237590000	Turn 61	
W	32.880510000	-117.237610000	Turn 62	
W	32.880470000	-117.237620000	Turn 63	
W	32.880440000	-117.237630000	Turn 64	
W	32.880400000	-117.237640000	Turn 65	
W	32.880390000	-117.237680000	Turn 66	
W	32.880460000	-117.237650000	Turn 67	
W	32.880500000	-117.237640000	Turn 68	
W	32.880540000	-117.237740000	Turn 69	
W	32.880550000	-117.237790000	Turn 70	
W	32.880550000	-117.237830000	Turn 71	
W	32.880550000	-117.237960000	Turn 72	
W	32.880570000	-117.237990000	Turn 73	
W	32.880600000	-117.238030000	Turn 74	
W	32.880630000	-117.238060000	Turn 75	
W	32.880660000	-117.238070000	Turn 76	
W	32.880700000	-117.238090000	Turn 77	
W	32.880740000	-117.238100000	Turn 78	
W	32.881000000	-117.238100000	Turn 79	
W	32.881060000	-117.238110000	Turn 80	
W	32.881100000	-117.238120000	Turn 81	
W	32.881190000	-117.238140000	Turn 82	
W	32.881210000	-117.238140000	Turn 83	
W	32.881270000	-117.238170000	Turn 84	
W	32.881320000	-117.238170000	Turn 85	
W	32.881360000	-117.238190000	Turn 86	
W	32.881400000	-117.238190000	Turn 87	
W	32.881440000	-117.238200000	Turn 88	
W	32.881530000	-117.238250000	Turn 89	
W	32.881580000	-117.238340000	Turn 90	
W	32.881610000	-117.238410000	Turn 91	
W	32.881630000	-117.238400000	Turn 92	
W	32.881640000	-117.238390000	Turn 93	
W	32.881680000	-117.238390000	Turn 94	
W	32.881710000	-117.238400000	Turn 95	
W	32.881740000	-117.238420000	Turn 96	
W	32.881770000	-117.238450000	Turn 97	
W	32.881780000	-117.238490000	Turn 98	
W	32.881780000	-117.238530000	Turn 99	
W	32.881770000	-117.238570000	Turn 100	
W	32.881750000	-117.238610000	Turn 101	
W	32.882090000	-117.238610000	Turn 102	
W	32.882460000	-117.238610000	Turn 103	
W	32.883420000	-117.238620000	Turn 104	
W	32.883460000	-117.238620000	Turn 105	
W	32.883940000	-117.238620000	Turn 106	
W	32.883980000	-117.238620000	Turn 107	
W	32.883980000	-117.238620000	Turn 108	
W	32.884180000	-117.238620000	Turn 109	
W	32.884200000	-117.238620000	Turn 110	
W	32.884200000	-117.238740000	Turn 111	
W	32.884210000	-117.238770000	Turn 112	
W	32.884210000	-117.238820000	Turn 113	
W	32.884240000	-117.238850000	Turn 114	
W	32.884380000	-117.238850000	Turn 115	
W	32.884540000	-117.238850000	Turn 116	
W	32.884580000	-117.238820000	Turn 117	
W	32.884600000	-117.238720000	Turn 118	
W	32.884620000	-117.238630000	Turn 119	
W	32.884800000	-117.238640000	Turn 120	
W	32.884810000	-117.239240000	Turn 121	
W	32.884810000	-117.239430000	Turn 122	
W	32.884870000	-117.239590000	Turn 123	
W	32.884860000	-117.240600000	Turn 124	
W	32.884860000	-117.240660000	Turn 125	
W	32.884850000	-117.240660000	Turn 126	
W	32.884510000	-117.240660000	Turn 127	
W	32.884210000	-117.240660000	Turn 128	
W	32.883860000	-117.240660000	Turn 129	
W	32.883740000	-117.240670000	Turn 130	
W	32.883430000	-117.240680000	Turn 131	
W	32.882810000	-117.240690000	Turn 132	
W	32.882640000	-117.240700000	Turn 133	
W	32.882560000	-117.240700000	Turn 134	
W	32.882430000	-117.240710000	Turn 135	
W	32.882220000	-117.240700000	Turn 136	
W	32.881870000	-117.240700000	Turn 137	
W	32.881860000	-117.240700000	Turn 138	
W	32.881780000	-117.240710000	Turn 139	
W	32.881700000	-117.240720000	Turn 140	
W	32.881390000	-117.240710000	Turn 141	
W	32.881100000	-117.240700000	Turn 142	
W	32.881020000	-117.240770000	Turn 143	
W	32.880930000	-117.240740000	Turn 144	
W	32.880480000	-117.240750000	Turn 145	
W	32.880220000	-117.240760000	Turn 146	
W	32.879730000	-117.240770000	Turn 147	
W	32.879750000	-117.240840000	Turn 148	
W	32.879700000	-117.240800000	Turn 149	
W	32.879620000	-117.240760000	Turn 150	
W	32.879480000	-117.240750000	Turn 151	
W	32.879370000	-117.240710000	Turn 152	
W	32.879290000	-117.240610000	Turn 153	
W	32.879140000	-117.240600000	Turn 154	
W	32.878890000	-117.240610000	Turn 155	
W	32.878820000	-117.240540000	Turn 156	
W	32.878740000	-117.240400000	Turn 157	
W	32.878700000	-117.240210000	Turn 158	
W	32.878740000	-117.239990000	Turn 159	
W	32.878690000	-117.239940000	Turn 160	
W	32.878690000	-117.239910000	Turn 161	
W	32.878690000	-117.239680000	Turn 162	
W	32.878680000	-117.239550000	Turn 163	
W	32.878600000	-117.239500000	Turn 164	
W	32.878530000	-117.239410000	Turn 165	
W	32.878460000	-117.239340000	Turn 166	
W	32.878400000	-117.239280000	Turn 167	
W	32.878360000	-117.239260000	Turn 168	
W	32.878330000	-117.239290000	Turn 169	
W	32.878320000	-117.239290000	Turn 170	
W	32.878270000	-117.239290000	Turn 171	
W	32.878230000	-117.239290000	Turn 172	
W	32.878190000	-117.239250000	Turn 173	
W	32.878170000	-117.239210000	Turn 174	
W	32.878150000	-117.239130000	Turn 175	
W	32.878150000	-117.239070000	Turn 176	
W	32.878160000	-117.238990000	Turn 177	
W	32.878170000	-117.238930000	Turn 178	
W	32.878160000	-117.238870000	Turn 179	
W	32.878140000	-117.238820000	Turn 180	
W	32.877550000	-117.238890000	Turn 181	
W	32.877500000	-117.238940000	Turn 182	
W	32.877470000	-117.239120000	Turn 183	
W	32.877470000	-117.239420000	Turn 184	
W	32.877470000	-117.239120000	Turn 185	
W	32.877500000	-117.238940000	Turn 186	
W	32.877550000	-117.238890000	Turn 187	
W	32.877490000	-117.238690000	Turn 188	
W	32.877460000	-117.238530000	Turn 189	
W	32.877430000	-117.238230000	Turn 190	
W	32.877470000	-117.237890000	Turn 191	
W	32.877560000	-117.237540000	Turn 192	
W	32.877440000	-117.237420000	Turn 193	
W	32.877420000	-117.237370000	Turn 194	
W	32.877420000	-117.237370000	Turn 195	
W	32.877420000	-117.237370000	Turn 196	
W	32.877440000	-117.237420000	Turn 197	
W	32.877560000	-117.237540000	Turn 198	
W	32.878150000	-117.237540000	Turn 199	
W	32.878160000	-117.237540000	Turn 200	
W	32.878560000	-117.237540000	Turn 201	
W	32.879030000	-117.237550000	Turn 202	
W	32.879190000	-117.236550000	Turn 203	
W	32.879200000	-117.236460000	Turn 204	
W	32.879250000	-117.236130000	Turn 205	
W	32.879260000	-117.236090000	Turn 206	
W	32.879310000	-117.235710000	Turn 207	
W	32.879320000	-117.235630000	Turn 208	
W	32.879330000	-117.235550000	Turn 209	
W	32.879360000	-117.235380000	Turn 210	
W	32.879400000	-117.235090000	Turn 211	
W	32.879400000	-117.235070000	Turn 212	
W	32.879400000	-117.235050000	Turn 213	
W	32.879460000	-117.234610000	Turn 214	
W	32.879520000	-117.234620000	Turn 215	
W	32.879700000	-117.234630000	Turn 216	
W	32.879840000	-117.234670000	Turn 217	
W	32.880050000	-117.234710000	Turn 218	
